index,base,input,MPFR,Posit64,Double,winner
639,0.937612,0.611481,1.119386145889047970,1.119386145889047945,1.119386145889047945,EQUAL
640,0.0346341,0.0236105,0.041916311274695297,1.576556854231676130,0.041916311274695299,Double
641,0.449588,0.914454,1.018997640705215591,1.018997640705215701,1.018997640705215701,EQUAL
642,0.803732,0.85555,1.173861481046004375,1.173861481046004406,1.173861481046004407,Posit
643,0.458776,0.559916,0.723866045746920980,0.723866045746920927,0.723866045746920928,Double
644,0.527923,0.71746,0.890758563319432516,0.890758563319432594,0.890758563319432484,Double
645,0.307155,0.331561,0.451969742410219963,0.451969742410219976,0.451969742410219977,Posit
646,0.0664909,0.329734,0.336371236264914644,8.239766149512943727,0.336371236264914664,Double
647,0.0367517,0.88011,0.880876915750707739,30.353846198149000201,0.880876915750707701,Double
648,0.897307,0.518049,1.036115048609294229,1.036115048609294264,1.036115048609294265,Posit
649,0.978865,0.0305219,0.979340869791226088,41.311144807843994897,0.979340869791226032,Double
650,0.271741,0.174879,0.323150151820756879,0.323150151820756903,0.323150151820756903,EQUAL
651,0.369748,0.0394384,0.371845191182696407,9.424617162965288841,0.371845191182696433,Double
652,0.545467,0.400887,0.676937545585285179,0.676937545585285183,0.676937545585285183,EQUAL
653,0.549661,0.981959,1.125331455778391712,1.125331455778391775,1.125331455778391776,Posit
654,0.608932,0.731733,0.951962062656077665,0.951962062656077634,0.951962062656077634,EQUAL
655,0.249495,0.183691,0.309822944145245338,0.309822944145245360,0.309822944145245360,EQUAL
656,0.394352,0.0893567,0.404348648214133652,0.404348648214133632,0.404348648214133632,EQUAL
657,0.27507,0.77533,0.822678565763083042,0.822678565763083069,0.822678565763083069,EQUAL
658,0.945232,0.3222,0.998637136824505647,0.998637136824505611,0.998637136824505611,EQUAL
659,0.110021,0.252402,0.275338556712627581,0.275338556712627580,0.275338556712627580,EQUAL
660,0.471624,0.969479,1.078109071866330989,1.078109071866331092,1.078109071866331092,EQUAL
661,0.29892,0.995466,1.039377363325626416,1.039377363325626468,1.039377363325626469,Posit
662,0.769734,0.418912,0.876343599853610626,0.876343599853610655,0.876343599853610655,EQUAL
663,0.276905,0.120822,0.302116573937658302,0.302116573937658283,0.302116573937658284,Double
664,0.667672,0.484207,0.824767807924994757,0.824767807924994711,0.824767807924994711,EQUAL
665,0.410742,0.871202,0.963172972307922588,0.963172972307922647,0.963172972307922648,Posit
666,0.426399,0.168893,0.458628969700229266,0.458628969700229260,0.458628969700229261,Double
667,0.305031,0.623288,0.693924556244893199,0.693924556244893242,0.693924556244893243,Posit
668,0.151399,0.713894,0.729771003959942980,0.729771003959942987,0.729771003959942988,Posit
669,0.583413,0.982858,1.142969969481458398,1.142969969481458347,1.142969969481458348,Double
670,0.595858,0.296269,0.665448852593211525,0.665448852593211515,0.665448852593211515,EQUAL
671,0.180635,0.829909,0.849340106423775802,0.849340106423775775,0.849340106423775776,Double
672,0.553395,0.907151,1.062623899108433135,1.062623899108433134,1.062623899108433134,EQUAL
673,0.145615,0.699915,0.714902156957477200,0.714902156957477163,0.714902156957477164,Double
674,0.0785375,0.437293,0.444289337819350525,0.444289337819350538,0.444289337819350538,EQUAL
675,0.611319,0.165026,0.633201298122871399,0.633201298122871403,0.633201298122871403,EQUAL
676,0.424712,0.899579,0.994797496117903597,0.994797496117903579,0.994797496117903579,EQUAL
677,0.573431,0.000437766,0.573431387582783279,14.676792592749567489,0.573431387582783336,Double
678,0.674977,0.63575,0.927239367624397713,0.927239367624397736,0.927239367624397737,Posit
679,0.716912,0.0389174,0.717967430421431890,19.925482721401692742,0.717967430421431962,Double
680,0.445511,0.537592,0.698201502517331762,0.698201502517331817,0.698201502517331818,Posit
681,0.626502,0.367641,0.726405155148303164,0.726405155148303172,0.726405155148303172,EQUAL
682,0.870915,0.960912,1.296859916549335584,1.296859916549335522,1.296859916549335523,Double
683,0.967087,0.610198,1.143502743863802858,1.143502743863802795,1.143502743863802795,EQUAL
684,0.894298,0.345828,0.958836227542454785,0.958836227542454788,0.958836227542454789,Posit
685,0.041912,0.102619,0.110848188551755867,2.985583838590834204,0.110848188551755863,Double
686,0.787733,0.773464,1.103979443180388716,1.103979443180388653,1.103979443180388653,EQUAL
687,0.489942,0.849166,0.980370437828198415,0.980370437828198437,0.980370437828198438,Posit
688,0.76657,0.567137,0.953558512230024578,0.953558512230024635,0.953558512230024635,EQUAL
689,0.0866046,0.396526,0.405873544436625161,0.405873544436625155,0.405873544436625155,EQUAL
690,0.292117,0.517087,0.593895107028854520,0.593895107028854507,0.593895107028854508,Double
691,0.369787,0.588546,0.695074973570976609,0.695074973570976584,0.695074973570976584,EQUAL
692,0.839548,0.873277,1.211384796820631350,1.211384796820631271,1.211384796820631271,EQUAL
693,0.0318349,0.811372,0.811996471942044280,25.955428847945395176,0.811996471942044273,Double
694,0.882109,0.424713,0.979028603948026672,0.979028603948026598,0.979028603948026599,Double
695,0.657124,0.990756,1.188868770369747933,1.188868770369747807,1.188868770369747807,EQUAL
696,0.303562,0.646521,0.714240549801905884,0.714240549801905877,0.714240549801905877,EQUAL
697,0.279529,0.316028,0.421913006018621721,0.421913006018621694,0.421913006018621695,Double
698,0.801726,0.710604,1.071318233563124194,1.071318233563124167,1.071318233563124167,EQUAL
699,0.225272,0.506579,0.554409546209338901,0.554409546209338910,0.554409546209338910,EQUAL
700,0.603627,0.579947,0.837080987972872842,0.837080987972872780,0.837080987972872781,Double
701,0.415245,0.616437,0.743251640009559605,0.743251640009559566,0.743251640009559567,Double
702,0.339222,0.286638,0.444109589214114367,0.444109589214114364,0.444109589214114364,EQUAL
